ID,Description,Calories,Protein,TotalFat,Carbohydrate
14550,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF",250,0,0,0.1
14551,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 90 PROOF",263,0,0,0
14552,"CARBONATED BEV,CHOCOLATE-FLAVORED SODA",42,0,0,10.7
14555,"WATER,BTLD,GENERIC",0,0,0,0
14559,"WATER,BTLD,NON-CARBONATED,EVIAN",0,0,0,0
14599,"SPORTS DRK,POWERADE ZERO ION4,CALORIE-FREE,ASSORTED FLAVORS",0,0,0,0
14604,"WATER,NON-CARBONATED,FRUIT FLAVORS,SWTND W/ LO CAL SWTNR",1,0,0,0.15
14605,"WATER W/ ADDED VITAMINS & MINERALS,SWTND, FRUIT FLAVORS",22,0,0,5.49
14607,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,DIET BERRY BLEND",4,0,0,1.23
14608,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,DIET FRUIT MEDLEY",4,0,0,1.26
14609,"CAMPBELL SOUP COMPANY,V8 SPLASH,DIET STRAWBERRY KIWI",4,0,0,1.26
14610,"CAMPBELL SOUP COMPANY,V8 SPLASH,DIET TROPICAL BLEND",4,0,0,1.26
14611,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,BERRY BLEND",29,0,0,7.41
14612,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,FRUIT MEDLEY",33,0,0,7.82
14613,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC,GUAVA PASSION FRUIT",33,0,0,7.82
14614,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,MANGO PEACH",33,0,0,8.23
14615,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,ORANGE PNAPPL",29,0,0,7.41
14616,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,ORCHARD BLEND",33,0,0,7.82
14617,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,STRAWBERRY BANANA",29,0,0,7.41
14618,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,STRAWBERRY KIWI",29,0,0,7.41
14619,"CAMPBELL SOUP COMPANY,V8 SPLASH JUC DRINKS,TROPICAL BLEND",29,0,0,7.41
14623,"CAMPBELL SOUP COMPANY,V8 V. FUSION JUICES,ACAI BERRY",45,0,0,10.98
14627,"ENERGY DRK,MONSTER",42,0,0,11.25
14628,"ENERGY DRK,AMP,SUGAR FREE",2,0,0,1.03
14629,"ENERGY DRK,ROCKSTAR",58,0,0,12.7
14633,"VEGETABLE & FRUIT JUC DRK,RED CAL,ADDED VIT C",4,0,0,1.1
14637,"WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV",18,0,0,4.5
14640,"ENERGY DRK,VAULT,CITRUS FLAVOR",49,0,0,12.99
14645,"FRUIT FLAV DRK,LESS THAN 3% JUC,NOT FORT W/ VIT C",64,0,0,16.03
14646,"FRUIT FLAV DRK CONTAINING LESS THAN 3% FRUIT JUC,W/ HI VIT C",27,0,0,6.67
14652,"FRUIT-FLAVORED DRK,DRY PDR,LO CAL,W/ HI VIT C",200,0,0,88.79
18369,"LEAVENING AGENTS,BAKING PDR,DOUBLE-ACTING,NA AL SULFATE",53,0,0,27.7
18372,"LEAVENING AGENTS,BAKING SODA",0,0,0,0
18373,"LEAVENING AGENTS,CRM OF TARTAR",258,0,0,61.5
19106,"CANDIES,GUMDROPS,STARCH JELLY PIECES",396,0,0,98.9
19128,"SYRUPS,TABLE BLENDS,PANCAKE,RED-CAL",165,0,0,44.55
19129,"SYRUPS,TABLE BLENDS,PANCAKE",234,0,0,61.47
19187,"FLAN,CARAMEL CUSTARD,DRY MIX",348,0,0,91.6
19222,"DESSERTS,RENNIN,VANILLA,DRY MIX",383,0,0,99
19335,"SUGARS,GRANULATED",387,0,0,99.98
19336,"SUGARS,POWDERED",389,0,0,99.77
19349,"SYRUPS,CORN,DK",286,0,0,77.59
19351,"SYRUPS,CORN,HIGH-FRUCTOSE",281,0,0,76
19355,"SYRUPS,SORGHUM",290,0,0,74.9
19362,"SYRUPS,TABLE BLENDS,CORN,REFINER,&SUGAR",319,0,0,83.9
19868,"SWEETENERS,TABLETOP,SUCRALOSE,SPLENDA PACKETS",336,0,0,91.17
19873,"FROZ NOVELTIES,ICE TYPE,SUGAR FREE,ORNGE,CHRY,& GRP POPSICLE",21,0,0,5.14
19906,"SWEETENERS,FOR BAKING,BROWN,CONTAINS SUGAR & SUCRALOSE",388,0,0,97.11
19907,"SWEETENERS,FOR BAKING,CONTAINS SUGAR & SUCRALOSE",398,0,0,99.53
19908,"SUGAR,TURBINADO",399,0,0,99.8
27027,"CAMPBELL SOUP COMPANY,PACE,PICO DE GALLO",31,0,0,9.38
27029,"CAMPBELL SOUP COMPANY,PACE,TEQUILA LIME SALSA",47,0,0,9.38
31014,"CAMPBELL SOUP COMPANY,PACE,JALAPENOS NACHO SLICED PEPPERS",13,0,0,3.33
31015,"CAMPBELL SOUP COMPANY,PACE,DICED GRN CHILIES",27,0,0,6.67
35078,"TEA,TUNDRA,HERB & LABORADOR COMBINATION (ALASKA NATIVE)",1,0,0,0.2
42040,"SYRUPS,GRENADINE",268,0,0,66.91
42063,"PECTIN,LIQUID",11,0,0,2.1
43058,"CANDIES,HARD,DIETETIC OR LO CAL (SORBITOL)",394,0,0,98.6
43075,"FLUID REPLCMNT,ELECTROLYTE SOLN (INCLUDE PEDIALYTE)",10,0,0,2.45
43216,"SWEETENERS,TABLETOP,FRUCTOSE,DRY,PDR",368,0,0,100
43388,"APPLE CIDER-FLAVORED DRK,PDR,LO CAL,W/ VIT C,PREP",1,0,0,0.3
43514,"FROZEN NOVELTIES,ICE TYPE,POP,W/ LO CAL SWTNR",24,0,0,5.92
44018,"SWEETENERS,TABLETOP,FRUCTOSE,LIQ",279,0,0,76.1
14431,"CRANBERRY JUC COCKTAIL,FRZ CONC,PREP W/ H2O",47,0.01,0,11.81
14376,"TEA,INST,SWTND W/NA SACCHARIN,LEMON-FLAVORED,PREP",2,0.02,0,0.44
2052,"VANILLA EXTRACT,IMITN,NO ALCOHOL",56,0.03,0,14.4
14290,"LEMONADE,LO CAL,W/ASPRT,PDR,PREP W/H2O",3,0.03,0,0.68
2068,"VINEGAR,RED WINE",19,0.04,0,0.27
14606,"BREAKFAST TYPE DRK,ORANGE FLAVOR,RED SUGAR",4,0.04,0,0.9
2051,"VANILLA EXTRACT,IMITN,ALCOHOL",237,0.05,0,2.41
14430,"CRANBERRY JUC COCKTAIL,FRZ CONC",201,0.05,0,51.45
14269,"FRUIT PUNCH DRK,FRZ CONC,PREP W/H2O",46,0.06,0,11.66
14367,"TEA,INST,UNSWTND,PDR,PREP",1,0.06,0,0.17
14084,"ALCOHOLIC BEV,WINE,TABLE,ALL",83,0.07,0,2.72
14096,"ALCOHOLIC BEV,WINE,TABLE,RED",85,0.07,0,2.61
14097,"ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET SAUVIGNON",83,0.07,0,2.6
14098,"ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET FRANC",83,0.07,0,2.45
14099,"ALCOHOLIC BEV,WINE,TABLE,RED,PINOT NOIR",82,0.07,0,2.31
14100,"ALCOHOLIC BEV,WINE,TABLE,RED,SYRAH",83,0.07,0,2.58
14101,"ALCOHOLIC BEV,WINE,TABLE,RED,BARBERA",85,0.07,0,2.79
14102,"ALCOHOLIC BEV,WINE,TABLE,RED,ZINFANDEL",88,0.07,0,2.86
14103,"ALCOHOLIC BEV,WINE,TABLE,RED,PETITE SIRAH",85,0.07,0,2.68
14105,"ALCOHOLIC BEV,WINE,TABLE,RED,CLARET",83,0.07,0,3.01
14106,"ALCOHOLIC BEV,WINE,TABLE,WHITE",82,0.07,0,2.6
14107,"ALCOHOLIC BEV,WINE,TABLE,RED,LEMBERGER",80,0.07,0,2.46
14108,"ALCOHOLIC BEV,WINE,TABLE,RED,SANGIOVESE",86,0.07,0,2.62
14109,"ALCOHOLIC BEV,WINE,TABLE,RED,CARIGNANE",74,0.07,0,2.4
14113,"ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT GRIS (GRIGIO)",83,0.07,0,2.06
14116,"ALCOHOLIC BEV,WINE,TABLE,WHITE,CHENIN BLANC",80,0.07,0,3.31
14117,"ALCOHOLIC BEV,WINE,TABLE,WHITE,FUME BLANC",82,0.07,0,2.27
14120,"ALCOHOLIC BEV,WINE,TABLE,WHITE,MULLER THURGAU",76,0.07,0,3.48
14124,"ALCOHOLIC BEV,WINE,TABLE,WHITE,GEWURZTRAMINER",81,0.07,0,2.6
14125,"ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST,GEWURZTRAMINER",108,0.07,0,11.39
14126,"ALCOHOLIC BEV,WINE,TABLE,WHITE,SEMILLON",82,0.07,0,3.12
14132,"ALCOHOLIC BEV,WINE,TABLE,WHITE,RIESLING",80,0.07,0,3.74
14134,"ALCOHOLIC BEV,WINE,TABLE,WHITE,SAUVIGNON BLANC",81,0.07,0,2.05
14135,"ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST",112,0.07,0,13.39
14138,"ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT BLANC",81,0.07,0,1.94
14140,"ALCOHOLIC BEV,WINE,TABLE,WHITE,MUSCAT",82,0.07,0,5.23
14152,"ALCOHOLIC BEV,WINE,TABLE,RED,BURGUNDY",86,0.07,0,3.69
14158,"ALCOHOLIC BEV,WINE,TABLE,RED,GAMAY",78,0.07,0,2.38
14159,"ALCOHOLIC BEV,WINE,TABLE,RED,MOUVEDRE",88,0.07,0,2.64
14160,"ALCOHOLIC BEV,WINE,TABLE,WHITE,CHARDONNAY",84,0.07,0,2.16
14602,"ALCOHOLIC BEV,WINE,TABLE,RED,MERLOT",83,0.07,0,2.51
43155,"ALCOHOLIC BEV,WINE,LT",49,0.07,0,1.17
14144,"CARBONATED BEV,LEMON-LIME SODA,CONTAINS CAFFEINE",41,0.09,0,10.42
14223,"COFFEE,INST,W/ CHICORY,PREP W/ H2O",3,0.09,0,0.75
14143,"CARBONATED BEV,LO CAL,OTHER THAN COLA OR PEPPER,WO/ CAFFEINE",0,0.1,0,0
14151,"CARB BEV,LO CAL,OTHR THN COLA OR PEPPER,W/ ASPRT,CONTNS CAFF",0,0.1,0,0
14201,"COFFEE,BREWED FROM GROUNDS,PREP W/ TAP H2O,DECAFFEINATED",0,0.1,0,0
14215,"COFFEE,INST,REG,PREP W/H2O",2,0.1,0,0.34
18370,"LEAVENING AGENTS,BAKING PDR,DOUBLE-ACTING,STRAIGHT PO4",51,0.1,0,24.1
43019,"SALAD DRSNG,SWT&SOUR",15,0.1,0,3.7
43404,"CRANBERRY-APPLE JUC DRK,LO CAL,W/VIT C",19,0.1,0,4.7
14146,"CARBONATED BEV,LO CAL,COLA OR PEPPR-TYPE,W/ ASPRT,WO/ CAFFEN",1,0.12,0,0.15
14219,"COFFEE,INST,DECAFFEINATED,PDR,PREP W/H2O",2,0.12,0,0.43
14427,"ORANGE DRK,BRKFST TYPE,W/JUC&PULP,FRZ CONC,PREP W/H2O",45,0.12,0,11.32
19334,"SUGARS,BROWN",380,0.12,0,98.09
14013,"ALCOHOLIC BEV,BEER,LT,MICHELOB ULTRA",27,0.17,0,0.73
14057,"ALCOHOLIC BEV,WINE,DSSRT,SWT",160,0.2,0,13.69
14240,"CRANBERRY-APRICOT JUC DRK,BTLD",64,0.2,0,16.2
14268,"FRUIT PUNCH DRK,FRZ CONC",162,0.2,0,41.4
14536,"ALCOHOLIC BEV,WINE,DSSRT,DRY",152,0.2,0,11.67
42270,ORANGE JUICE DRINK,54,0.2,0,13.41
14601,"TEA,RTD,UNSWTND,WENDY'S,FAST FD,WO/ ICE",1,0.22,0,0
14006,"ALCOHOLIC BEV,BEER,LT",29,0.24,0,1.64
19296,HONEY,304,0.3,0,82.4
19303,"MARMALADE,ORANGE",246,0.3,0,66.3
14426,"ORANGE DRK,BRKFST TYPE,W/ JUC & PULP,FRZ CONC",153,0.4,0,39
19280,"FROZEN NOVELTIES,ICE TYPE,LIME",128,0.4,0,32.6
14620,"CAMPBELL SOUP COMPANY,V8 V. FUSION JUICES,PEACH MANGO",49,0.41,0,11.38
14621,"CAMPBELL SOUP COMPANY,V8 V. FUSION JUICES,STRAWBERRY BANANA",49,0.41,0,11.79
14622,"CAMPBELL SOUP COMPANY,V8 V. FUSION JUICES,TROPICAL",49,0.41,0,11.38
31005,"CAMPBELL SOUP COMPANY,V8 VEG JUC,ORGANIC V8",20,0.41,0,4.53
31016,"CAMPBELL SOUP COMPANY,V8 60% VEG JUC,V8 V-LITE",14,0.41,0,2.88
14003,"ALCOHOLIC BEV,BEER,REG,ALL",43,0.46,0,3.55
2069,"VINEGAR,BALSAMIC",88,0.49,0,17.03
14553,"WINE,NON-ALCOHOLIC",6,0.5,0,1.1
43154,"ALCOHOLIC BEV,WINE,COOKING",50,0.5,0,6.3
43346,"FROZEN NOVELTIES,JUC TYPE,ORANGE",95,0.5,0,23.17
43479,"ALCOHOLIC BEV,RICE (SAKE)",134,0.5,0,5
35017,"BLUEBERRIES,WILD,FRZ (ALASKA NATIVE)",44,0.7,0,10.4
43026,"SYRUPS,DIETETIC",40,0.8,0,49.2
31001,"CAMPBELL SOUP COMPANY,TOMATO JUC",21,0.82,0,4.12
31002,"CAMPBELL SOUP COMPANY,TOMATO JUC,LO NA",21,0.82,0,4.12
31006,"CAMPBELL SOUP COMPANY,ORGANIC TOMATO JUC",21,0.82,0,4.12
31007,"CAMPBELL SOUP COMPANY,HEALTHY REQUEST TOMATO JUC",21,0.82,0,4.53
31008,CAMPBELL'S V8 100% VEG JUC,21,0.82,0,4.12
31010,"CAMPBELL SOUP COMPANY,V8 VEG JUC,ESSENTIAL ANTIOXIDANTS V8",21,0.82,0,4.53
31011,"CAMPBELL SOUP COMPANY,V8 VEG JUC,CA ENR V8",21,0.82,0,4.53
31012,"CAMPBELL SOUP COMPANY,V8 VEG JUC,LO NA V8",21,0.82,0,4.12
31013,"CAMPBELL SOUP COMPANY,V8 VEG JUC,SPICY HOT V8",21,0.82,0,4.12
31017,"CAMPBELL SOUP COMPANY,V8 VEG JUC,LO NA SPICY HOT",21,0.82,0,4.53
31018,"CAMPBELL SOUP COMPANY,V8 VEG JUC,HI FIBER V8",25,0.82,0,5.39
19176,"GELATIN DSSRT,DRY MIX,RED CAL,W/ ASPRT,PREP W/ H2O",20,0.83,0,4.22
43158,"SWEETENERS,TABLETOP,SACCHARIN",360,0.94,0,89.11
27023,"CAMPBELL,CAMPBELL'S SOUP AT HAND,25% LESS NA CL",39,0.98,0,8.85
35195,"CATTAIL,NARROW LEAF SHOOTS (NORTHERN PLAINS INDIANS)",25,1.18,0,5.14
6504,"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,TOMATO SOUP",44,1.22,0,9.8
14086,"CAMPBELL SOUP COMPANY,V8 SPLASH SMOOTHIES,PEACH MANGO",37,1.22,0,7.76
14087,"CAMPBELL SOUP COMPANY,V8 SPLASH SMOOTHIES,STRAWBERRY BANANA",37,1.22,0,8.16
14088,"CAMPBELL SOUP COMPANY,V8 SPLASH SMOOTHIES,TROPICAL COLADA",41,1.22,0,8.54
19173,"GELATIN DSSRT,DRY MIX,PREP W/ H2O",62,1.22,0,14.19
27019,"CAMPBELL, SEL SOUP,HARVEST TOMATO W/ BASIL SOUP",41,1.22,0,8.98
27025,"CAMPBELL,CAMPBELL'S SEL GOLD LABEL SOUPS,ITALIA",37,1.22,0,7.76
14341,"PINEAPPLE&ORANGE JUC DRK,CND",50,1.3,0,11.8
6183,"SOUP,CHICK OR BEEF BROTH,CND,LESS/REDUCED NA",7,1.36,0,0.38
19247,"FROSTINGS,WHITE,FLUFFY,DRY MIX,PREP W/H2O",244,1.5,0,62.6
6213,"CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA TOMATO SOUP,COND",73,1.61,0,16.13
6323,"CAMPBELL SOUP COMPANY,CAMPBELL'S FAT FREE TURKEY GRAVY",33,1.67,0,6.67
6599,"CAMPBELL SOUP COMPANY,PACE,ENCHILADA SAU",40,1.67,0,8.33
6317,"CAMPBELL SOUP COMPANY,CAMPBELL'S FAT FREE BF GRAVY",25,1.69,0,5.08
6320,"CAMPBELL SOUP COMPANY,CAMPBELL'S FAT FREE CHICK GRAVY",25,1.69,0,5.08
6327,"CAMPBELL SOUP COMPANY,FRANCO-AMERICN FAT FR SLW RST BF GRAVY",34,1.69,0,5.08
6328,"CAMPBELL COMPANY,FRANCO-AMERICAN FT FE SLW RST CHICK GRVY",34,1.69,0,6.78
6996,"CAMPBELL SOUP COMPANY,CAMPBELL'S AU JUS GRAVY",8,1.69,0,0
19233,"PUDDINGS,VANILLA,RTE,FAT FREE",89,2.02,0,20.16
19909,"SWEETENERS,SUGAR SUB,GRANULATED,BROWN",347,2.06,0,84.77
19337,"SWEETENERS,TABLETOP,ASPRT,EQ,PACKETS",365,2.17,0,89.08
6432,"SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O",12,2.22,0,0.73
19246,"FROSTINGS,WHITE,FLUFFY,DRY MIX",371,2.3,0,94.9
6091,"CAMPBELL SOUP COMPANY,CAMPBELL'S RED & WHITE,BF BROTH,COND",12,2.42,0,0.81
6032,"SOUP,BF BROTH BOUILLON & CONSOMME,CND,COND",13,2.52,0,0.84
42182,BEAN BEVERAGE,34,2.8,0,5.8
1180,"SOUR CREAM,FAT FREE",74,3.1,0,15.6
27030,"CAMPBELL SOUP COMPANY,PACE,TRIPLE PEPPER SALSA",47,3.13,0,9.38
6097,"CAMPBELL SOUP COMPANY,CAMPBELLS RED & WHITE,BF CONSOMME,COND",16,3.23,0,0.81
16203,"CAMPBELL SOUP COMPANY,PACE,SALSA REFRIED BNS",60,3.33,0,11.67
1187,"YOGURT,CHOC,NONFAT MILK",112,3.53,0,23.53
1222,"YOGURT,CHOC,NONFAT MILK,FORT W/ VITAMIN D",112,3.53,0,23.53
14409,"ORANGE-FLAVOR DRK,BRKFST TYPE,LO CAL,PDR",217,3.6,0,85.9
16202,"CAMPBELL SOUP COMPANY,PACE,TRADITIONAL REFRIED BNS",67,4.17,0,10.83
16204,"CAMPBELL SOUP COMPANY,PACE,SPICY JALAPENO REFRIED BNS",63,4.17,0,11.67
19272,"SNACKS,FARLEY CANDY,FARLEY FRUIT SNACKS,W/VITAMINS A,C,&E",341,4.4,0,80.9
1243,"FAT FREE ICE CRM,NO SUGAR ADDED,FLAVORS OTHER THAN CHOC",129,4.41,0,27.94
19867,"ICE CREAMS,VANILLA,FAT FREE",138,4.48,0,30.06
19352,"SYRUPS,MALT",318,6.2,0,71.3
19172,"GELATIN DSSRT,DRY MIX",381,7.8,0,90.5
19702,"GELATIN DSSRT,DRY MIX,W/ ADDED VIT C,SODIUM-CITRATE & SALT",381,7.8,0,90.5
1172,"EGG,WHITE,RAW,FROZEN",47,9.8,0,1.05
1226,"EGG SUB,LIQ OR FRZ,FAT FREE",48,10,0,2
19175,"GELATIN DSSRT,DRY MIX,RED CAL,W/ ASPRT",198,15.67,0,80.21
14353,"TEA,INST,UNSWTND,PDR,DECAFFEINATED",315,20.21,0,58.66
14366,"TEA,INST,UNSWTND,PDR",315,20.21,0,58.66
42304,"CHEESE,MOZZARELLA,NON-FAT",141,31.7,0,3.5
19703,"GELATIN DSSRT,DRY MIX,RED CAL,W/ ASPRT,ADDED P,K,NA,VIT C",345,55.3,0,33.3
19704,"GELATIN DSSRT,DRY MIX,RED CAL,W/ ASPRT,NO ADDED NA",345,55.3,0,33.3
1173,"EGG,WHITE,DRIED",382,81.1,0,7.8
14541,"FRUIT PUNCH-FLAVOR DRK,PDR,WO/ NA,PREP W/H2O",37,0,0.01,9.47
14243,"CRANBERRY JUC COCKTAIL,BTLD,LO CAL,W/CA,SACCHARIN&CORN SWTNR",19,0.02,0.01,4.6
14119,"MIXED VEG & FRUIT JUC DRK,W/ ADDED NUTR",29,0.04,0.01,7.47
14644,"SPORTS DRK,GATORADE G2,LO CAL",8,0.05,0.01,1.94
44203,"COCKTAIL MIX,NON-ALCOHOLIC,CONCD,FRZ",287,0.08,0.01,71.6
9262,"PEAR NECTAR,CND,WO/ VIT C",60,0.11,0.01,15.76
9408,"PEAR NECTAR,CND,W/ VIT C",60,0.11,0.01,15.76
14635,"BEVERAGES,VEG & FRUIT JUC BLEND,W/ ADDED VITAMINS A,C,E",46,0.3,0.01,11.15
6494,"SOUP,ONION,DRY,MIX,PREP W/ H2O",12,0.32,0.01,2.77
9281,"PLUMS,CND,PURPLE,H2O PK,SOL&LIQUIDS",41,0.39,0.01,11.03
9097,"FRUIT COCKTAIL,CND,JUC PK,SOL&LIQUIDS",46,0.46,0.01,11.86
11226,"JERUSALEM-ARTICHOKES,RAW",73,2,0.01,17.44
6179,"SAUCE,FISH,READY-TO-SERVE",35,5.06,0.01,3.64
19099,"CANDIES,FONDANT,PREPARED-FROM-RECIPE",373,0,0.02,93.18
19281,"FROZEN NOVELTIES,ICE TYPE,ITALIAN,REST-PREP",53,0.03,0.02,13.5
14145,"CARBONATED BEV,SPRITE,LEMON-LIME,WO/ CAFFEINE",40,0.05,0.02,10.14
14400,"CARBONATED BEV,COLA,CONTAINS CAFFEINE",37,0.07,0.02,9.56
14025,"ALCOHOLIC BEV,WHISKEY SOUR,PREP W/ H2O,WHISKEY & PDR MIX",164,0.1,0.02,15.85
14209,"COFFEE,BREWED FROM GROUNDS,PREP W/ TAP H2O",1,0.12,0.02,0
19300,JELLIES,266,0.15,0.02,69.95
20068,"TAPIOCA,PEARL,DRY",358,0.19,0.02,88.69
11107,"BUTTERBUR,CKD,BLD,DRND,WO/SALT",8,0.23,0.02,2.16
