ID,Sodium,Cholesterol,Sugar,Calcium,Iron,Potassium,VitaminC,VitaminE,VitaminD
42184,231,0,31,0,8.75,486,0,7.2,0
8286,309,0,31,58,8.2,436,0.4,7.2,0.7
25033,293,0,17.14,0,3.39,415,0,7.14,0
1223,329,21,5.71,500,8.57,"1,129",30,7.07,5
25013,423,,7.2,20,1.74,232,0,7.04,
15072,91,374,0,22,0.6,221,16,7,12.1
16089,420,0,4.18,61,1.52,726,0.8,6.94,0
16390,6,0,4.18,54,2.26,658,0,6.93,0
25037,854,0,4.76,17,4.59,129,0,6.93,0
16389,6,0,4.16,88,1.83,682,0,6.91,0
16104,"1,465",0,0,23,2.41,170,0,6.9,0
43212,"1,770",0,0,101,0.72,145,1.9,6.9,0
25053,414,0,33.14,57,1.44,390,0.3,6.89,0
19411,480,0,0.37,24,1.61,"1,642",18.6,6.74,0
16095,10,0,3.95,89,2.55,690,0,6.56,0
43355,110,24,4.2,0,0,10,0,6.43,0
15250,153,65,0,98,1.41,163,0,6.33,0
16097,486,0,8.41,45,1.9,745,0,6.3,0
16397,17,0,8.41,45,1.9,745,0,6.3,0
35156,0,,0,0,0,0,0,6.28,0.7
4668,886,0,0,3,0.12,18,,6.23,
19042,750,0,7.05,50,1.94,"1,261",33.9,6.17,0
4031,0,0,0,0,0,0,0,6.13,0
4548,0,0,0,0,0,0,0,6.13,0
4554,0,0,0,0,0,0,0,6.13,0
4615,4,0,0,1,0.07,0,0,6.13,0
4666,0,0,0,0,0,0,0,6.13,0
4546,0,0,0,0,0,0,0,6.13,
4560,0,0,0,0,0,0,0,6.13,
4586,0,0,0,0,0,0,0,6.13,
4587,0,0,0,0,0,0,0,6.13,
4655,864,0,0,0,0,0,0,6.13,
4667,0,0,0,0,0,0,0,6.13,
8609,298,0,14.8,42,2.9,311,0,6.03,
16167,476,0,6.5,54,2.16,592,0,5.94,0
35203,4,,2.58,169,1.06,429,426,5.84,
12078,3,0,2.33,160,2.43,659,0.7,5.73,0
42309,607,71,0,28,0.09,37,0.1,5.7,0
19031,413,0,3,54,2.44,328,0.3,5.6,0
4629,700,0,,7,0.12,46,,5.59,
31007,198,0,3.7,8,0,206,29.6,5.56,
44055,"1,435",0,35.9,587,7.83,"4,388",86.5,5.55,0
19019,278,0,33.96,39,2.5,305,0,5.52,0
19422,492,0,0.22,21,1.35,"1,744",25.7,5.47,0
19823,8,0,0.22,21,1.35,"1,744",25.7,5.47,0
11683,275,0,38.82,212,3.93,"2,540",14.6,5.45,0
1137,135,2052,3.6,284,5.42,244,0,5.42,11.4
16272,79,0,,394,0.87,,,5.26,3.8
4628,654,0,,3,0.12,18,,5.23,
4025,568,38,1.08,7,0.22,12,0,5.22,0.2
19802,896,4,2.76,58,1.1,197,0,5.12,0
2024,13,0,6.79,266,9.21,738,7.1,5.07,0
25027,202,0,0.92,9,0.97,786,32.1,5.04,0
43572,490,0,0.54,11,2.28,241,0,5.01,0
4016,"1,000",0,8.32,19,0.6,157,0,5,0
4029,353,0,6,0,0.01,10,0,5,0
4114,"1,018",0,8.32,7,0.63,48,0,5,0
4120,836,0,15.95,24,0.8,67,3.6,5,0
4612,785,0,0,21,0,30,0.1,5,0
4614,700,1,0,21,0,30,0.1,5,0
4624,833,1,0,38,0.03,50,0.3,5,0
4626,590,0,0,20,0.01,25,0.1,5,0
4627,630,0,0,50,0.02,64,0.2,5,0
11663,102,0,2.97,625,21.4,"1,125",0,5,0
11667,"1,048",0,3.1,120,28.5,"1,363",10.1,5,0
42256,542,0,16.7,0,0,30,0,5,0
90560,70,50,0,10,3.5,382,0,5,0
42307,28,88,0,28,0.09,37,0.1,5,0.3
4693,785,0,0,21,0,30,0.1,5,10.7
4695,785,1,0,21,0,30,0.1,5,10.7
19125,41,0,54.05,108,4.38,407,0,4.96,0
20060,5,0,0.9,57,18.54,"1,485",0,4.92,0
42158,932,0,3.28,36,0.26,49,0,4.92,0
25040,966,0,4.04,52,1.55,838,4.9,4.84,0
19897,9,0,26.92,840,3.56,,27.3,4.82,
43015,"1,209",39,2.81,48,1.08,29,0.3,4.74,0.1
19008,910,7,2.87,58,1.75,189,0,4.7,0
4135,1,0,2.5,0,0,8,0,4.61,0
4665,879,0,0,66,0,94,0.4,4.6,0
43017,867,40,6.67,34,0.35,58,0.2,4.6,0
42139,193,12,23.63,108,1.45,339,0.6,4.59,0
8047,825,0,20.27,10,29,268,40,4.55,0
35184,420,249,0,1600,5.4,"1,000",,4.51,
4633,733,0,0,0,0,25,0,4.5,0
4634,0,0,0,0,0,25,0,4.5,0
4600,786,0,0,24,0.04,36,0.1,4.47,0
25026,771,0,0.54,20,2.36,219,0,4.47,0
8219,465,0,25.03,337,17.64,227,3.9,4.43,0
9032,10,0,53.44,55,2.66,"1,162",1,4.33,0
11546,59,0,12.18,36,2.98,"1,014",21.9,4.3,0
11887,790,0,12.18,36,2.98,"1,014",21.9,4.3,0
19056,421,0,1,174,2.32,215,0,4.29,0
4539,"1,041",31,3.48,37,0.09,88,0.7,4.28,0.1
8545,476,44,26.61,316,,295,,4.27,
19434,847,1,7.29,357,1.28,286,21.4,4.25,0
4639,"1,094",33,2.45,31,0.62,62,3.4,4.23,0.1
42137,"1,103",49,2.45,22,0.35,176,0.6,4.23,0.1
25056,269,0,37.61,65,1.16,231,0.3,4.19,0.1
19026,193,12,23.74,108,1.45,339,0.6,4.17,0
4141,0,0,15.95,24,0.8,67,0,4.12,
16088,751,0,2.47,55,1.01,180,0,4.1,0
19147,156,0,42.22,78,0.97,407,0,4.1,0
11634,193,0,38.48,134,10.4,"3,170",1900,4,0
11931,193,0,40.77,134,10.4,"3,170",1900,4,0
15155,301,85,0,31,3.19,250,2,4,0
43331,905,4,2,4,0.27,108,8.8,4,0
4017,863,26,15.18,17,1.18,107,0,4,0.1
4030,"1,000",76,15.18,14,0.2,35,0,4,0.1
15025,51,126,0,20,0.5,272,1.8,4,23.3
4530,0,0,0,0,0,0,0,4,
4550,0,100,,0,0,0,0,4,
35225,24,26,,,0.2,206,,4,
43129,490,0,0.8,95,2,600,0,3.95,0
4630,646,1,,4,0.21,36,0,3.94,
4585,633,12,0,10,0.04,22,0.1,3.88,0
1133,523,1507,3.08,231,6.79,493,0,3.88,8
8212,33,0,20.42,86,4.35,388,0.1,3.85,0
19418,"1,488",0,0.19,170,0.74,177,0,3.85,0
4513,0,0,0,0,0,0,0,3.81,0
9195,"1,556",0,0.54,52,0.49,42,0,3.81,0
4656,6,0,0,1,0.29,2,0,3.81,
4657,6,0,0,1,0.15,1,0,3.81,
4658,6,0,0,1,0.15,1,0,3.81,
4660,6,0,0,1,0.15,2,0,3.81,
4662,6,0,0,1,0.15,4,0,3.81,
4663,6,0,0,2,0.15,1,0,3.81,
4515,0,0,0,0,0,0,0,3.8,
8560,261,0,23,101,3,486,0,3.74,0
25048,195,0,32.45,65,5.65,328,0.2,3.72,0.8
11979,3,0,4.12,12,0.25,248,118.6,3.58,0
18229,865,0,7.45,95,3.81,111,0,3.58,0
15236,59,55,,9,0.34,363,3.9,3.55,
11464,97,0,0.51,153,1.96,302,2.2,3.54,0
11856,322,0,0.51,153,1.96,302,2.2,3.54,0
19444,602,2,2.82,128,4.8,396,5.5,3.53,0
19833,15,0,0.85,159,1.6,272,0.2,3.53,0
43364,15,0,1,174,2.32,215,0,3.53,0
43566,856,3,0.53,159,1.63,272,0.2,3.53,0
4703,650,29,15.84,12,0.29,20,0.2,3.53,0.1
18621,882,,8.14,154,4.47,119,,3.49,
20113,439,0,0.26,20,4.73,120,0,3.48,0
43134,490,0,0.8,95,2,600,0,3.45,0
11207,76,0,0.71,187,3.1,397,35,3.44,0
8142,13,0,1.6,500,3.57,492,0,3.44,
19161,226,6,36.13,75,1.32,264,0.3,3.42,0
8589,244,0,20.2,102,3.3,491,0,3.35,0
2014,168,0,2.25,931,66.36,"1,788",7.7,3.33,0
15002,"3,668",85,0,232,4.63,544,0,3.33,1.7
4015,"1,133",0,17.68,13,0.6,173,6,3.32,0
20118,378,0,0.25,21,1.76,89,0,3.29,0
19143,41,10,47.22,110,1.39,394,0.9,3.17,0
11962,91,0,41.06,45,6.04,"1,870",31.4,3.14,0
19132,74,19,43.9,224,1.63,444,0.2,3.14,0
2043,38,0,3.21,183,41.42,"2,525",25.9,3.1,0
4073,943,0,0,30,0,42,0.2,3.1,
8215,341,0,16.6,212,29.52,364,12,3.09,0
11921,21,0,4.28,7,0.47,193,162.8,3.09,0
43016,710,26,20.11,14,0.2,9,0,3.08,0.1
4641,673,35,4.34,8,0.32,40,0,3.07,0
43329,837,26,4.34,14,0.26,24,0,3.07,0
18401,515,39,7.33,42,1.63,79,0.1,3.06,0.5
43131,711,0,2.22,41,1.8,200,0,3,0
8214,345,0,16.62,203,29.3,363,11.5,2.99,0
8632,345,0,16.78,203,28.93,363,11.5,2.99,
25028,305,0,1.21,102,1.34,208,0,2.97,0
8546,500,0,31.8,31,2.56,143,0,2.94,0
11519,15,0,0.49,18,0.72,484,5,2.93,0
11878,251,0,0.49,18,0.72,484,5,2.93,0
43059,112,21,14.57,285,2.86,606,1.9,2.93,0
16152,78,0,4.68,136,1.75,144,11.7,2.92,1
11463,74,0,0.65,129,1.89,346,5.5,2.9,0
4575,0,102,0,0,0,0,0,2.9,4.8
11568,40,0,0.81,190,1.1,296,60,2.86,0
42171,838,0,25.92,11,0.4,79,0,2.86,0
4142,30,0,28.45,11,0.87,107,0,2.86,
15145,58,114,0,27,0.84,302,1.2,2.85,0
19140,50,8,50.75,102,1.16,347,0,2.85,0
15018,"7,027",152,0,160,2.5,"1,458",3.5,2.84,4
18398,672,1,22.1,30,3,168,0,2.83,0.4
4520,0,102,0,0,0,0,0,2.8,0.7
1003,2,256,0,4,0,5,0,2.8,1.8
1160,"3,780",955,,114,3.75,117,0,2.8,5.9
15241,61,70,0,30,0.36,450,2.9,2.79,19
25050,296,,3.36,52,0.72,868,,2.78,
19249,264,6,40.33,70,1.3,295,0.6,2.77,0
19910,264,5,40.33,70,1.3,295,0.6,2.77,0
43046,33,0,83.33,32,0.59,105,0.3,2.77,0
1127,67,959,,123,3.14,103,0,2.77,5.8
20063,2,0,2.31,37,4.97,717,0,2.73,0
5047,32,58,0,7,0.7,64,0,2.73,3.3
42183,266,6,53,130,1.31,309,1,2.71,0
19098,225,6,47.19,73,1.2,347,0.4,2.7,0
4001,0,109,0,0,0,0,0,2.7,0.7
4542,0,85,0,0,0,0,0,2.7,4.8
4574,0,100,0,0,0,0,0,2.7,4.8
4576,0,100,,0,0,0,0,2.7,
6979,"17,152",0,2.03,123,3.2,187,5.8,2.69,0
19007,950,0,4.83,29,3.72,143,1.8,2.69,0
8242,614,0,21.2,26,29.5,220,0,2.68,0
8386,190,0,23,97,3.2,578,0,2.68,0
43128,709,0,0,35,3.27,54,0,2.68,0
35158,160,439,0,46,5.95,190,12,2.68,
9039,2,0,2.42,10,0.17,351,17.4,2.66,0
11575,15,0,0.75,152,1.94,224,21.8,2.66,0
11892,251,0,0.75,152,1.94,224,21.8,2.66,0
25055,286,0,42.86,116,8.71,189,0.1,2.66,0
19348,346,1,34.82,49,1.3,284,0.2,2.63,0
18166,503,0,41.01,22,8.68,215,0,2.61,0
8194,586,0,34.48,345,15.52,224,20.7,2.61,3.3
4143,30,67,8.32,7,0.63,48,0,2.61,
1125,48,1085,0.56,129,2.73,109,0,2.58,5.4
8544,229,0,26.2,39,3.5,256,1.5,2.57,2
19148,445,12,51.33,27,1.22,168,0,2.56,0
19896,321,9,53.57,36,0.64,257,0,2.56,0
43019,208,0,3.7,4,0.04,33,8.1,2.56,0
11097,56,,0.62,118,1.27,343,37,2.53,0
12144,1,0,3.97,67,2.47,392,0.7,2.53,0
12644,393,0,3.97,67,2.47,392,0.7,2.53,0
16223,50,0,2.53,140,0.49,141,7.2,2.52,1.2
25036,167,0,30,41,1.56,285,0.2,2.51,0
2005,17,0,0.64,689,16.23,"1,351",21,2.5,0
11158,53,0,2.01,69,3.74,569,23.9,2.5,0
11165,46,0,0.87,67,1.77,521,27,2.5,0
11767,289,0,2.01,69,3.74,569,23.9,2.5,0
18209,103,0,42.95,27,3.73,117,0,2.5,0
1126,67,945,0.51,138,3.34,118,0,2.49,5.2
8216,364,0,16.34,191,29.95,438,11.6,2.47,0
3217,227,8,12.5,20,0.6,305,5.3,2.44,0
11208,44,0,0.5,140,1.8,232,18,2.44,0
20035,5,0,,47,4.57,563,,2.44,0
19035,"1,058",0,0.46,4,1.98,182,0.3,2.43,0
42259,3,0,0.54,10,2.78,225,0.3,2.43,0
8189,219,0,28,39,3.7,249,2,2.43,2.1
12152,6,0,7.74,107,4.03,"1,007",3,2.42,0
12652,428,0,7.74,107,4.03,"1,007",3,2.42,0
6101,"4,957",2,17.51,134,2.6,408,16.6,2.41,0
35180,"2,850",227,0,85,2.96,"1,720",0,2.41,15.7
15111,97,78,0,6,0.45,499,0,2.41,16.6
6931,419,2,5.5,27,0.78,319,2,2.4,0
6976,30,2,5.5,27,0.78,319,2,2.4,0
19126,41,9,37.59,104,1.31,502,0,2.4,0
42178,773,0,0.85,53,0.27,66,0,2.4,0
11518,11,0,0.4,43,0.55,591,4.5,2.38,0
83110,"4,450",95,0,66,1.4,520,0,2.38,25.2
18215,913,0,6.98,50,2.72,218,0,2.37,0
4704,788,15,23.39,59,0.25,61,0.3,2.36,0.1
35001,21,10,,8,0.3,70,2.9,2.36,
15240,51,59,0,25,0.31,377,2.9,2.34,15.9
2010,10,0,2.17,1002,8.32,431,3.8,2.32,0
8053,417,0,24.4,76,27.93,947,0,2.32,0
18330,571,0,38.34,21,2.17,88,0,2.32,0.4
1001,714,215,0.06,24,0.02,24,0,2.32,1.5
1002,827,219,0.06,24,0.16,26,0,2.32,1.5
1145,11,215,0.06,24,0.02,24,0,2.32,1.5
43245,509,0,29.8,43,9.82,443,0,2.32,1.8
8556,49,17,38.6,54,0.57,8,0,2.31,3.2
11349,12,0,0.39,16,0.88,183,4,2.3,0
12151,1,0,7.66,105,3.92,"1,025",5.6,2.3,0
25041,400,0,20,0,2.7,545,0,2.3,0
15124,396,31,0,4,0.65,333,0,2.3,
8243,509,0,24.56,0,7.89,184,10.5,2.29,0
8622,364,0,26.92,54,2.99,436,0.5,2.29,
18399,560,0,37.57,20,2.12,86,0,2.28,
11152,45,0,0.7,100,0.9,420,24,2.26,0
11161,20,0,0.46,145,0.19,169,35.3,2.26,0
11952,22,0,0.6,19,0.57,302,8,2.26,0
25039,367,36,31.54,333,6,238,0.9,2.25,0.1
8284,240,0,27.7,32,4.2,196,2,2.25,1.8
8283,459,0,25,35,27,269,0,2.25,2.1
25052,313,1,29.17,333,1.5,224,0.5,2.23,0
18191,338,2,47.56,46,2.29,140,0.4,2.22,0
19118,193,7,46.2,69,0.5,259,0,2.21,0
18185,415,1,31.83,35,2.51,167,0,2.2,0
15151,947,211,0,91,0.32,170,0,2.2,0.1
7067,653,30,0,10,0.61,183,1,2.2,0.2
8114,17,0,0.66,36,3.5,521,0,2.19,0
18214,973,3,4.53,136,4.88,156,0,2.19,0
12014,7,0,1.4,46,8.82,809,1.9,2.18,0
19045,411,0,0.63,29,1.11,760,12,2.18,0
42283,634,0,5.01,125,0.8,721,0,2.18,0
6075,"26,000",10,16.71,60,1,446,0,2.17,0
44048,"1,297",6,8.21,649,0.68,126,0,2.15,0
35181,118,59,0,30,0.64,365,0,2.15,15.1
8253,475,0,0.37,415,18,"1,050",25,2.14,5.3
11577,19,0,1.07,128,1.75,216,18.2,2.13,0
11893,255,0,0.95,128,1.75,216,18.2,2.13,0
8202,207,0,26.8,33,15,322,0,2.12,0
9314,7,0,20.14,18,0.78,454,23,2.11,
16107,888,0,0,63,3.72,231,0,2.1,0
19015,294,0,28.57,61,2.95,336,0.9,2.09,0
15264,386,66,0,37,0.48,312,0,2.09,21.5
11458,70,0,0.43,136,3.57,466,9.8,2.08,0
11854,306,0,0.43,136,3.57,466,9.8,2.08,0
9037,7,0,0.66,12,0.55,485,10,2.07,0
15087,408,79,0,232,0.65,314,0,2.07,21
18231,901,0,10.5,81,2.77,215,0,2.06,0
43599,711,0,6.4,14,0.2,9,0,2.06,0
4018,711,26,6.4,14,0.2,9,0,2.06,0.1
15088,505,142,0,382,2.92,397,0,2.04,4.8
1210,576,975,2.46,171,3.23,373,,2.04,7.4
11457,79,0,0.42,99,2.71,558,28.1,2.03,0
18427,216,0,1.79,120,3.6,355,0,2.03,0
11520,3,0,3.01,107,2.25,648,52,2.02,0
18249,326,19,26.65,24,4,201,1.3,2.02,0
15110,81,66,0,5,0.38,418,0,2.02,13.9
11270,25,0,1.6,103,1.46,354,70,2.01,0
18257,337,127,6.6,63,1.18,117,0.3,2.01,1
8272,701,0,33.15,451,18.27,152,23.5,2.01,3.3
4027,497,24,6,0,0,10,0,2,0
11974,9,0,6.3,363,2.63,272,11.1,2,0
3820,52,1,7.4,88,1.75,118,7.6,2,1.6
18356,304,66,31.73,72,1.6,111,2,1.99,0
18927,878,6,12.33,89,2.13,295,2.6,1.99,
16116,12,0,7.61,188,5.82,"2,041",0,1.98,0
19009,635,0,0.61,9,1.67,278,0,1.98,0
9038,8,0,0.3,13,0.61,507,8.8,1.97,0
11547,28,0,4.83,18,1.78,439,10.6,1.97,0
11888,399,0,4.83,18,1.78,439,10.6,1.97,0
13166,187,77,0,10,2.23,227,0,1.96,
4551,0,0,0,0,0,0,0,1.95,0
16115,13,0,7.5,206,6.37,"2,515",0,1.95,0
43410,400,0,0,42,3.83,300,0,1.95,0
11461,322,0,0.4,127,2.3,346,14.3,1.94,0
2035,52,0,7.76,682,19.71,663,23.4,1.93,0
6972,"1,338",0,10.54,20,0.8,370,16,1.92,0
43130,471,0,0,33,1.41,98,0,1.92,0
8086,719,0,34.38,313,14.06,141,18.8,1.92,3.1
11551,452,0,5.77,13,0.89,380,12.4,1.92,
14605,0,0,5.49,17,0,0,12.7,1.9,0
14637,8,0,4.5,17,0,0,12.7,1.9,0
